op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
SUB,973,299.0,3.725344e-09,-6.0985045e-10,1.1230026e-08,1.4503302e-17,0.001381007,11,add_normalization_4/layer_normalization_4/FusedBatchNormV39
ADD,977,76544.0,0.018361785,-0.0037387735,0.14880653,0.0003642162,0.05678013,10,add_normalization_4/layer_normalization_4/FusedBatchNormV310
TRANSPOSE,981,76544.0,0.0,0.0,0.0,0.0,0.05678013,10,add_normalization_4/layer_normalization_4/FusedBatchNormV311
RESHAPE,985,76544.0,0.0,0.0,0.0,0.0,0.05678013,10,add_normalization_4/layer_normalization_4/Reshape_1
MUL,989,76544.0,0.019250039,-0.0029753041,0.09053139,0.0003797786,0.06543183,11,add_normalization_4/layer_normalization_4/mul_3
ADD,993,76544.0,0.013182397,-0.0033230786,0.040882688,0.0001848199,0.06550475,11,add_normalization_4/layer_normalization_4/add
FILL,998,76544.0,0.0,0.0,0.0,0.0,0.003921569,-128,BroadcastTo2
MUL,1002,76544.0,0.0004786038,-2.5446304e-06,0.0008319299,2.2906801e-07,0.0016638852,5,BroadcastTo3
ADD,1006,76544.0,0.019210275,5.493728e-05,0.05066057,0.00036903913,0.06640464,11,add1
FILL,1013,299.0,0.0,0.0,0.0,0.0,0.003921569,-128,layer_normalization_5/ones
FILL,1017,299.0,0.0,0.0,0.0,0.0,7.843137e-09,0,layer_normalization_5/zeros
RESHAPE,1023,76544.0,0.0,0.0,0.0,0.0,0.06640464,11,layer_normalization_5/Reshape
TRANSPOSE,1027,76544.0,0.0,0.0,0.0,0.0,0.06640464,11,layer_normalization_5/FusedBatchNormV32
MEAN,1031,299.0,0.008703483,-0.0007506242,0.108223684,0.00013846035,0.00024445294,6,layer_normalization_5/FusedBatchNormV33
SQUARED_DIFFERENCE,1035,76544.0,0.07482319,-0.0140617145,0.17282262,0.0057992167,0.3357259,-128,layer_normalization_5/FusedBatchNormV34
MEAN,1039,299.0,1.596623,-0.64139,9.360485,3.3614926,0.0048085637,-128,layer_normalization_5/FusedBatchNormV35
ADD,1043,299.0,6.0033886e-05,-4.2140207e-05,0.00022549914,5.6258074e-09,0.0048124855,-128,layer_normalization_5/FusedBatchNormV36
RSQRT,1047,299.0,0.0010613155,-0.0008319782,0.0021410247,1.8434994e-06,0.0042918213,-128,layer_normalization_5/FusedBatchNormV37
MUL,1051,299.0,0.0,0.0,0.0,0.0,0.0042918213,-128,layer_normalization_5/FusedBatchNormV38
MUL,1055,76544.0,0.013315105,-4.4260494e-05,0.03151155,0.00017748759,0.06259464,11,layer_normalization_5/FusedBatchNormV39
MUL,1059,299.0,7.620232e-05,-3.1314076e-07,0.0001312048,5.832815e-09,0.0002629394,7,layer_normalization_5/FusedBatchNormV310
SUB,1063,299.0,6.6286415e-10,-2.924001e-10,1.9613826e-09,5.3529613e-19,0.0002629394,-8,layer_normalization_5/FusedBatchNormV311
